FRNM_NM,RN_ADDR,OPR_TIME_INFO,RPRS_TELNO,HMPG_URL,LA_VLUE,LO_VLUE
다사랑 온누리약국,부산 사상구 사상로 236 1층 2호,화 08:30 - 21:00 | 수 08:30 - 21:00 | 목 08:30 - 21:00 | 금 08:30 - 21:00 | 토 08:30 - 14:00 | 일 정기휴무 (매주 일요일) | 월 08:30 - 21:00,0507-1443-7754,http://kko.to/PgmFum2vgn,35.16596222,128.9830017
다온약국,경기도 안산시 상록구 월피로 92 (월피동),월(9/16) 추석 연휴08:40 - 20:00 | 화(9/17) 추석08:40 - 20:00 | 수 08:30 - 22:00 | 목 08:30 - 22:00 | 금 09:00 - 19:00 | 토 09:00 - 19:00 | 일 09:00 - 19:00,031-411-8276,,37.33620453,126.8532181
다온약국,경남 김해시 삼계중앙로 27 삼계메디칼 1층,수 09:00 - 19:00 | 13:00 - 13:30 휴게시간 | 목 09:00 - 19:00 | 13:00 - 13:30 휴게시간 | 금 09:00 - 19:00 | 13:00 - 13:30 휴게시간 | 토 09:00 - 16:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:00 | 13:00 - 13:30 휴게시간 | 화 09:00 - 19:00 | 13:00 - 13:30 휴게시간,0507-1430-4933,https://youtube.com/@yakissue,35.26072693,128.8679352
다정약국,대구광역시 달성군 다사읍 달구벌대로 873,월(9/16) 추석 연휴10:00 - 14:00 | 화(9/17) 추석10:00 - 14:00 | 수 08:30 - 19:30 | 목 08:30 - 19:30 | 금 08:30 - 19:30 | 토 08:30 - 15:00 | 일 정기휴무 (매주 일요일) | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 12:00 - 13:00 휴게시간 | 12:00 - 13:00 휴게시간,0507-1302-0037,,35.85836411,128.4650574
단감약국,경남 김해시 진영읍 김해대로334번길 9-2 1층 단감약국,월 09:00 - 20:00 | 화 09:00 - 20:00 | 수 09:00 - 20:00 | 목 09:00 - 20:00 | 금 09:00 - 20:00 | 토 10:00 - 17:00 | 일 10:00 - 17:00 | 13:20 - 14:00 휴게시간 | 13:20 - 14:00 휴게시간 | 13:20 - 14:00 휴게시간 | 13:20 - 14:00 휴게시간 | 13:20 - 14:00 휴게시간 | 13:20 - 14:00 휴게시간 | 13:20 - 14:00 휴게시간,0507-1330-5572,http://www.instagram.com/dangam_pharmacy/,35.30606079,128.7267303
도마태평양약국,대전광역시 서구 배재로 182-1 (도마동),월 09:00 - 01:00 | 화 09:00 - 01:00 | 수 09:00 - 01:00 | 목 09:00 - 01:00 | 금 09:00 - 01:00 | 토 09:00 - 01:00 | 일 13:30 - 01:00,042-528-7774,https://www.youtube.com/@user-lb8gz6jw2i,36.32475662,127.370575
두물머리약국,경기 양평군 양서면 목왕로 55-1 1층,수 10:00 - 20:00 | 목 10:00 - 20:00 | 금 10:00 - 20:00 | 토 09:00 - 15:00 | 일 정기휴무 (매주 일요일) | 월 10:00 - 20:00 | 화 10:00 - 20:00,031-771-5177,https://blog.naver.com/skatnwjd10,37.54508591,127.3283005
드림약국,경기도 시흥시 서울대학로264번길 44-4 (배곧동),월(9/16) 추석 연휴09:00 - 15:00 | 화(9/17) 추석09:00 - 15:00 | 수 09:00 - 21:00 | 목 09:00 - 21:00 | 금 09:00 - 21:00 | 토 09:00 - 18:00 | 일 09:00 - 15:00,0507-1469-5956,https://blog.naver.com/dreamyak,37.36717606,126.7282257
라온약국,경기 화성시 동탄신리천로 278,수 09:00 - 19:00 | 목 09:00 - 19:00 | 금 09:00 - 19:00 | 토 09:00 - 13:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:00 | 화 09:00 - 19:00,031-375-8275,,37.1833725,127.1088562
라온약국,경기 이천시 중리천로 76 4층 라온약국,수 08:30 - 18:30 | 목 08:30 - 18:30 | 금 08:30 - 18:30 | 토 08:30 - 13:30 | 일 정기휴무 (매주 일요일) | 월 08:30 - 18:30 | 화 08:30 - 18:30,070-7550-6743,https://blog.naver.com/2000-raon,37.2784462,127.4457397
롯데화인약국,부산 해운대구 양운로 82 해운대화인크리닉센타,수 09:00 - 19:00 | 목 09:00 - 19:00 | 금 09:00 - 19:00 | 토 09:00 - 15:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:00 | 화 09:00 - 19:00,051-704-3600,,35.17045975,129.1755676
리더스약국,전북 전주시 완산구 온고을로 62,수 09:00 - 19:00 | 목 09:00 - 19:00 | 금 09:00 - 19:00 | 토 09:00 - 14:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:00 | 화 09:00 - 19:00,063-253-3210,,35.8342514,127.1161499
마북서울약국,경기 용인시 기흥구 마북로 159 한성프라자,수 09:00 - 18:30 | 목 09:00 - 19:30 | 금 09:00 - 19:30 | 토 09:00 - 14:30 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:30 | 화 09:00 - 19:30,031-283-5940,,37.30409622,127.1235275
마산정약국,경남 창원시 마산합포구 현동4길 5 성원빌딩 102호,수 08:30 - 19:00 | 목 08:30 - 19:00 | 금 08:30 - 19:00 | 토 08:30 - 16:00 | 일 정기휴무 (매주 일요일) | 월 08:30 - 19:00 | 화 08:30 - 19:00,0507-1399-0715,,35.15089417,128.5531921
마음편한약국,전남 무안군 삼향읍 남악4로34번길 6 에드가채움 주상복합 아파트 132호 마음편한약국,수 09:00 - 18:00 | 목 09:00 - 13:00 | 금 09:00 - 18:00 | 토 09:00 - 13:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 18:00 | 화 09:00 - 18:00,061-285-0507,,34.80744934,126.4664307
만종대형약국,강원 원주시 호저면 원문로 631 만종대형약국,월(9/16) 추석 연휴08:00 - 22:00 | 화(9/17) 추석08:00 - 22:00 | 수 08:00 - 22:00 | 목 08:00 - 22:00 | 금 08:00 - 22:00 | 토 08:00 - 22:00 | 일 08:00 - 22:00,033-731-1365,https://www.instagram.com/___manjong1365,37.35362625,127.899826
메디팜 생생약국,경기도 고양시 덕양구 은빛로 41 (화정동),월(9/16) 추석 연휴09:00 - 22:00 | 화(9/17) 추석09:00 - 22:00 | 수 09:00 - 22:00 | 목 09:00 - 22:00 | 금 09:00 - 22:00 | 토 09:00 - 22:00 | 일 정기휴무 (매주 일요일),031-966-0138,https://blog.naver.com/pharm138,37.63817978,126.8324509
메디팜울산약국,울산 울주군 범서읍 천상중앙길 86 메디팜울산약국,수 09:30 - 21:00 | 목 09:30 - 21:00 | 금 09:30 - 21:00 | 토 09:30 - 21:00 | 일 정기휴무 (매주 일요일) | 월 09:30 - 21:00 | 화 09:30 - 21:00,052-242-0220,,35.56291199,129.2269592
메디팜피아노약국,경남 창원시 성산구 마디미로21번길 17 102호,수 08:30 - 21:00 | 목 08:30 - 21:00 | 금 08:30 - 21:00 | 토 08:30 - 21:00 | 일 정기휴무 (매주 일요일) | 월 08:30 - 21:00 | 화 08:30 - 21:00,0507-1312-5578,http://medipharm.alltheway.kr/,35.22168732,128.6862335
메트로약국,경기 성남시 분당구 성남대로 926 분당METRO 1층,수 09:00 - 19:30 | 목 09:00 - 19:30 | 금 09:00 - 19:30 | 토 09:00 - 15:30 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:30 | 화 09:00 - 19:30,031-708-1238,https://blog.naver.com/rayonner14,37.41257477,127.1292953
문정이화약국,서울특별시 송파구 법원로 114 (문정동),,0507-1405-1183,http://ewhapharm.modoo.at,37.48605347,127.1210098
미래약국,전라남도 함평군 해보면 밀재로 1293,,0507-1401-8760,,35.18104553,126.604866
미소지우약국,경기 시흥시 정왕대로 178 117호,수 09:00 - 19:30 | 목 09:00 - 19:30 | 금 09:00 - 19:30 | 토 09:00 - 14:30 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:30 | 화 09:00 - 19:30,0507-1364-6550,,37.34781265,126.7339706
미소팜약국,충청남도 천안시 동남구 대흥로 256 (대흥동),월 09:00 - 20:00 | 화 09:00 - 20:00 | 수 09:00 - 20:00 | 목 09:00 - 20:00 | 금 09:00 - 20:00 | 토 09:00 - 17:00 | 일 정보없음,041-552-0082,,36.81068039,127.1487198
바다약국,대전 중구 동서대로 1220,화 08:30 - 19:00 | 수 08:30 - 19:00 | 목 08:30 - 19:00 | 금 08:30 - 19:00 | 토 08:30 - 14:00 | 일 정기휴무 (매주 일요일) | 월 08:30 - 19:00,0507-1385-6933,https://blog.naver.com/badapharm,36.32561493,127.3955383
셀메드바른약국,부산 해운대구 중동1로 15-3 1층 바른약국,월(9/16) 추석 연휴 휴무 | 화 08:30 - 19:00 | 수 08:30 - 19:00 | 목 08:30 - 19:00 | 금 08:30 - 19:00 | 토 08:30 - 17:00 | 일 정기휴무 (매주 일요일),0507-1414-9070,https://blog.naver.com/medicine0126,35.1636734,129.1613464
밝은약국,경기도 남양주시 진접읍 장현로 122,월 09:00 - 19:00 | 화 09:00 - 19:00 | 수 09:00 - 19:00 | 목 09:00 - 19:00 | 금 09:00 - 19:00 | 토 09:00 - 17:00 | 일 09:00 - 17:00,031-574-2040,https://blog.naver.com/jinu9820,37.72013474,127.1849518
백일온누리약국,대구 남구 대명로 12 1층 백일온누리약국,수 09:00 - 19:00 | 목 09:00 - 20:00 | 금 09:00 - 19:00 | 토 09:00 - 13:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:00 | 화 09:00 - 19:00,0507-1312-0109,https://blog.naver.com/woohyun2000,35.83755493,128.5588531
봄봄온누리약국,경기 평택시 중앙로 96,수 08:30 - 19:30 | 목 08:30 - 19:30 | 금 08:30 - 19:30 | 토(10/19) 08:30 - 15:30 | 일 정기휴무 (매주 일요일) | 월 08:30 - 19:30 | 화 08:30 - 19:30,031-654-1377,https://blog.naver.com/bombom-drugstore,36.99342346,127.0937042
부민온누리약국,부산광역시 북구 만덕대로65번길 9 (덕천동),,0507-1321-3309,,35.21227646,129.0117035
부부약국,서울 구로구 오류로8길 60,수 09:00 - 19:30 | 목 09:00 - 19:30 | 금 09:00 - 19:30 | 토 09:00 - 15:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:30 | 화 09:00 - 19:30,02-2688-0151,https://blog.naver.com/sooababy2,37.49222946,126.8436737
삼성온누리약국,부산 동래구 사직로70번길 76 초원빌딩 1층,수 09:00 - 17:00 | 13:00 - 14:00 휴게시간 | 목 09:00 - 18:30 | 13:00 - 14:00 휴게시간 | 금 09:00 - 18:30 | 13:00 - 14:00 휴게시간 | 토 09:00 - 13:30 | 일 정기휴무 (매주 일요일) | 월 09:00 - 18:30 | 13:00 - 14:00 휴게시간 | 화 09:00 - 18:30 | 13:00 - 14:00 휴게시간,051-506-3466,,35.19861603,129.057373
샘터약국,경기도 부천시 원미구 도약로 144 (중동),,032-325-3221,https://blog.naver.com/samter1,37.51042175,126.7654343
생명사랑 약국,대전 유성구 도안대로 511-13,수 09:00 - 18:00 | 13:00 - 14:00 휴게시간 | 목 09:00 - 19:00 | 13:00 - 14:00 휴게시간 | 금 09:00 - 18:00 | 13:00 - 14:00 휴게시간 | 토 09:00 - 13:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:00 | 13:00 - 14:00 휴게시간 | 화 09:00 - 18:00 | 13:00 - 14:00 휴게시간,042-823-8276,,36.34566116,127.3392715
서면동물약국,부산광역시 부산진구 동성로 152 (전포동),월(9/16) 추석 연휴10:00 - 18:00 | 화(9/17) 추석10:00 - 18:00 | 수 09:00 - 19:00 | 목 09:00 - 19:00 | 금 09:00 - 19:00 | 토 09:00 - 18:00 | 일 정기휴무 (매주 일요일),051-817-5712,,35.16170883,129.0628967
서진약국,울산 중구 번영로 577,수 08:30 - 19:00 | 목 08:30 - 19:00 | 금 08:30 - 19:00 | 토 08:30 - 13:00 | 일 정기휴무 (매주 일요일) | 월 08:30 - 19:00 | 화 08:30 - 19:00,0507-1332-7669,http://pf.kakao.com/_LeGxfxb,35.56924057,129.3449097
세종약국,충청남도 천안시 동남구 서부대로 276 (신방동),월 08:30 - 23:00 | 화 08:30 - 23:00 | 수 08:30 - 23:00 | 목 08:30 - 23:00 | 금 08:30 - 23:00 | 토 08:30 - 23:00 | 일 09:00 - 23:00,0507-1401-3675,,36.79270935,127.1293106
세종온누리약국,경상북도 구미시 도봉로 80 (도량동),월(9/16) 추석 연휴10:00 - 20:00 | 화(9/17) 추석10:00 - 20:00 | 수 08:00 - 19:00 | 목 08:00 - 19:00 | 금 08:00 - 19:00 | 토 08:00 - 15:00 | 일 정기휴무 (매주 일요일),0507-1407-5448,https://sejongpharm.modoo.at,36.13913727,128.3175354
센텀파크약국,부산 해운대구 센텀중앙로 145 7상가 205호 스타벅스 위,월 09:00 - 19:00 | 화 09:00 - 20:00 | 수 09:00 - 19:00 | 목 09:00 - 20:00 | 금 09:00 - 19:00 | 토 09:00 - 13:00 | 일 정기휴무 (매주 일요일) | 13:00 - 13:40 휴게시간 | 13:00 - 13:40 휴게시간 | 13:00 - 13:40 휴게시간 | 13:00 - 13:40 휴게시간,051-741-1063,,35.1782341,129.1220551
셀메드 동주온누리약국,부산 사하구 낙동대로 168,수 09:00 - 19:00 | 목 09:00 - 19:00 | 금 09:00 - 19:00 | 토 09:00 - 14:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:00 | 화 09:00 - 19:00,051-207-0603,https://blog.naver.com/vitaminp1,35.10232925,128.9978485
셀메드윤약국,전남 무안군 삼향읍 남악5로48번길 17 명인치과 1층,수(10/16) 10:00 - 19:00 | 목 09:30 - 20:00 | 12:30 - 14:00 휴게시간 | 금 09:30 - 20:00 | 12:30 - 14:00 휴게시간 | 토 09:30 - 15:00 | 일 정기휴무 (매주 일요일) | 월 09:30 - 20:00 | 12:30 - 14:00 휴게시간 | 화 09:30 - 20:00 | 12:30 - 14:00 휴게시간,061-802-2004,http://pf.kakao.com/_BThxmG,34.80985641,126.473259
솔약국,경기 용인시 수지구 만현로 113 미래프라자 1층 106호 솔약국,수 09:00 - 20:00 | 목 12:00 - 20:00 | 금 09:00 - 20:00 | 토 09:00 - 16:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 20:00 | 화 09:00 - 20:00,0507-1394-5958,,37.30647659,127.0853577
송산온누리약국,경기 의정부시 오목로 207,수 09:00 - 19:00 | 목 09:00 - 19:00 | 금 09:00 - 19:00 | 토 09:00 - 13:30 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:00 | 화 09:00 - 19:00,031-852-5001,,37.74491501,127.098587
수약국,경기도 파주시 청석로 256 (동패동),월 09:00 - 20:00 | 화 09:00 - 20:00 | 수 09:00 - 20:00 | 목 09:00 - 20:00 | 금 09:00 - 20:00 | 토 09:00 - 16:00 | 일 09:00 - 14:00,031-947-7573,,37.72470856,126.7177582
스타약국,경기 고양시 일산서구 탄현로 136 에듀포레푸르지오상가 110호,수 09:00 - 18:30 | 13:00 - 13:40 휴게시간 | 목 09:00 - 18:30 | 13:00 - 13:40 휴게시간 | 금 09:00 - 18:30 | 13:00 - 13:40 휴게시간 | 토 09:00 - 16:00 | 13:00 - 13:40 휴게시간 | 일 정기휴무 (매주 일요일) | 월 09:00 - 18:30 | 13:00 - 13:40 휴게시간 | 화 09:00 - 18:30 | 13:00 - 13:40 휴게시간,031-913-7582,,37.70361328,126.7663956
시지프라자약국,대구 수성구 달구벌대로 3207,수 08:50 - 19:00 | 목 08:50 - 19:00 | 금 08:50 - 21:00 | 토 08:50 - 16:00 | 일 정기휴무 (매주 일요일) | 월 08:50 - 21:00 | 화 08:50 - 21:00,053-791-4723,,35.84033203,128.7078247
신대동약국,부산광역시 중구 대청로 80 (대청동3가),,051-245-6505,,35.1027832,129.0285797
신마산태평양약국,경상남도 창원시 마산합포구 해안대로 3 (월남동5가),월(9/16) 추석 연휴09:00 - 21:00 | 화(9/17) 추석09:00 - 21:00 | 수 08:30 - 22:00 | 목 08:30 - 22:00 | 금 08:30 - 22:00 | 토 08:30 - 22:00 | 일 09:00 - 21:00,055-244-1800,https://blog.naver.com/summerpapa06,35.18067551,128.5592957
신성온누리약국,경기도 남양주시 홍유릉로248번길 39 (금곡동),,031-595-8363,,37.62725449,127.2024078
신세계약국,경기도 여주시 가남읍 태평로 23-2,월(9/16) 추석 연휴15:00 - 20:30 | 화(9/17) 추석15:00 - 20:30 | 수 09:00 - 20:30 | 목 09:00 - 20:30 | 금 09:00 - 18:30 | 토 정기휴무 (매주 토요일) | 일 정기휴무 (매주 일요일),0507-1483-5336,,37.20294189,127.5463257
애니약국,대구광역시 수성구 달구벌대로 2491-4 (범어동),,053-264-1898,https://blog.naver.com/anipharm1898,35.85918045,128.6352081
엠약국,전북 전주시 덕진구 기린대로 479-1,수 09:00 - 18:00 | 목 09:00 - 18:00 | 금 09:00 - 18:00 | 토 09:00 - 12:30 | 일 정기휴무 (매주 일요일) | 월 09:00 - 18:00 | 화 09:00 - 18:00,0507-1378-0430,https://blog.naver.com/heimdall01,35.84236908,127.1252289
역전약국,세종 조치원읍 으뜸길 208 1층,수 09:00 - 19:00 | 목 09:00 - 19:00 | 금 09:00 - 19:00 | 토 09:00 - 14:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:00 | 화 09:00 - 19:00,044-865-2169,https://blog.naver.com/hoondrug,36.60079956,127.2970581
연원마을약국,경기도 용인시 기흥구 용구대로 2398 (마북동),월 09:00 - 18:30 | 화 09:00 - 18:30 | 수 09:00 - 18:30 | 목 09:00 - 18:30 | 금 09:00 - 18:30 | 토 09:00 - 15:30 | 일 정보없음,031-306-4525,https://blog.naver.com/yopharm,37.30030441,127.1072845
열린약국,"서울특별시 강동구 상암로 104 (천호동, 중앙클레식하우스)",월 09:30 - 18:30 | 화 09:30 - 18:30 | 수 09:30 - 13:00 | 목 09:30 - 18:30 | 금 09:30 - 18:30 | 토 09:30 - 14:00 | 일 정기휴무 (매주 일요일),02-477-5756,,37.54714966,127.1341171
열린온누리약국,대구 서구 평리로 144,수 09:00 - 21:00 | 목 09:00 - 21:00 | 금 09:00 - 21:00 | 토 09:00 - 14:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 21:00 | 화 09:00 - 21:00,053-525-1587,https://blog.naver.com/erotis0,35.85855865,128.5401611
예쁜약국,강원 원주시 시청로 96 107호 예쁜약국,수 정보없음 | 목 정보없음 | 금 정보없음 | 토 정기휴무 (매주 토요일) | 일 정기휴무 (매주 일요일) | 월 정보없음 | 화 정보없음,0507-1375-7274,https://m.blog.naver.com/jmylucky,37.33618164,127.9284821
오약국,인천 남동구 서창남순환로 140 2단지 더포레스트아파트단지상가 101호,월 09:00 - 19:00 | 화 09:00 - 19:00 | 수 09:00 - 19:00 | 목 09:00 - 19:00 | 금 09:00 - 19:00 | 토 09:00 - 13:00 | 일 정기휴무 (매주 일요일),0507-1308-3347,https://blog.naver.com/kor1080,37.42818069,126.7433472
온누리건강약국,서울 송파구 양재대로 1222 올림픽중심상가 2층 8호,수 08:30 - 19:30 | 목 08:30 - 19:30 | 금 08:30 - 19:30 | 토 08:30 - 18:00 | 일 정기휴무 (매주 일요일) | 월 08:30 - 19:30 | 화 08:30 - 19:30,02-404-9620,,37.515728,127.1310654
온누리조약국,부산 수영구 수영로 605-1 온누리조약국,수 08:50 - 19:30 | 목 08:50 - 19:30 | 금 08:50 - 19:30 | 토 09:00 - 17:00 | 일 정기휴무 (매주 일요일) | 월 08:50 - 19:30 | 화 08:50 - 19:30,051-753-2077,,35.15987778,129.1132813
옵티마케어 운정약국,경기도 파주시 미래로 371 (동패동),,031-942-1171,,37.7110939,126.745842
용인보건당약국,경기 용인시 처인구 금학로 91 금령마을 우남 퍼스트빌 상가 101호,수 09:00 - 19:00 | 목 09:00 - 19:00 | 금 09:00 - 19:00 | 토 정기휴무 (매주 토요일) | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:00 | 화 09:00 - 19:00,031-323-5561,,37.24018478,127.1739807
용호W약국,부산 남구 분포로 145 용호 W스퀘어 2층 2091호,수 09:00 - 20:00 | 목 09:00 - 20:00 | 금 09:00 - 20:00 | 토 09:00 - 16:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 20:00 | 화 09:00 - 20:00,051-611-1898,,35.13422775,129.1112213
우주약국,경기 성남시 분당구 내정로 170 3층 3호,수 09:00 - 19:00 | 목 09:00 - 19:00 | 금 09:00 - 19:00 | 토 09:00 - 16:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:00 | 화 09:00 - 19:00,031-717-1015,,37.37348175,127.1196594
유명약국,경기 하남시 미사강변남로 29,수 09:00 - 19:00 | 목 09:00 - 20:00 | 금 09:00 - 19:30 | 토 09:00 - 14:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:30 | 화 09:00 - 20:00,070-4111-0088,,37.55980301,127.1850128
유명약국,대전 유성구 계룡로 81 1층,수 08:00 - 20:00 | 목 08:00 - 20:00 | 금 08:00 - 20:00 | 토 08:00 - 13:00 | 일 정기휴무 (매주 일요일) | 월 08:00 - 20:00 | 화 08:00 - 20:00,042-719-7509,,36.35449219,127.3399048
윤진약국,경기 용인시 수지구 수풍로131번길 2 에덴파크I,화 08:00 - 19:00 | 수 08:00 - 19:00 | 목 08:00 - 19:00 | 금 08:00 - 19:00 | 토 08:00 - 14:00 | 일 정기휴무 (매주 일요일) | 월 08:00 - 19:00,0507-1369-8358,,37.33566284,127.0933838
인천시민약국,인천 계양구 계양대로 206,수 09:00 - 19:30 | 목 09:00 - 19:30 | 금 09:00 - 19:00 | 토 09:00 - 16:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:30 | 화 09:00 - 19:30,070-4045-8275,https://blog.naver.com/icnpet,37.54236984,126.7230301
일산선약국,경기도 고양시 일산서구 가좌1로 53 (가좌동),월(9/16) 추석 연휴09:00 - 20:00 | 화(9/17) 추석09:00 - 20:00 | 수 09:00 - 21:00 | 목 09:00 - 21:00 | 금 09:00 - 21:00 | 토 09:00 - 20:00 | 일 12:00 - 20:00,031-923-0222,,37.68750763,126.7189102
자연약국,경기 고양시 일산동구 장백로 194 위너스21빌딩 111호,수 09:30 - 19:00 | 목 09:30 - 19:00 | 금 09:30 - 19:00 | 토 09:30 - 15:00 | 일 정기휴무 (매주 일요일) | 월 09:30 - 19:00 | 화 09:30 - 19:00,0507-1324-9571,,37.65208817,126.7766647
정약국,서울 송파구 충민로2길 28 대진플라자2,수 09:00 - 19:00 | 13:00 - 14:00 휴게시간 | 목 09:00 - 19:00 | 13:00 - 14:00 휴게시간 | 금 09:00 - 19:00 | 13:00 - 14:00 휴게시간 | 토 09:00 - 14:00 | 일 09:00 - 13:00 | 월 09:00 - 19:00 | 13:00 - 14:00 휴게시간 | 화 09:00 - 19:00 | 13:00 - 14:00 휴게시간,0507-1330-7887,,37.47715759,127.1274185
제일약국,대구광역시 달서구 이곡공원로1길 32 (이곡동),,053-593-0330,,35.8549614,128.5110016
제일약국,경상남도 양산시 서일동로 39 (중부동),,055-383-7777,,35.34186554,129.0371704
